case_id,Country_Code,open_date,close_date,activation_date,removal_date,product_type,record_type,stage,id,status,create_date,scheduled_date,fulfilled_date,type,vendor,region,cycle_time
975672280-0,MX,,,,,Locker,Location Locker/Counter,,245102374-0,Cancelled,4/25/24,4/28/24,,Decommission,Redbox,MX,
222156429-4,MX,,,,,Apt Locker,Dobby,Install,253745914-8,Cancelled,5/6/24,5/9/24,,Install,Brendamour,MX,
890035188-5,CA,,,,,Apt Locker Pro,Location,,596185831-6,Fulfilled,2/6/24,2/9/24,2/21/24,Advertising,Redbox,CA,15
146057268-8,ES,,,,,Apt Locker,Dobby NA,,695142044-0,Scheduled,2/10/24,2/11/24,,Decommission,NSA,ES,
785800795-5,JP,,45402,45402,,Locker,Location Locker/Counter,Closed,664602559-2,Fulfilled,4/6/24,4/8/24,4/20/24,Install,Brendamour,JP,14
914989354-8,JP,,,,,Apt Locker,Dobby NA,,333708023-5,Cancelled,4/13/24,4/14/24,,Decommission,NSA,JP,
689945591-9,IT,,,,,Apt Locker,Dobby,Install,072935764-3,Cancelled,1/26/24,1/27/24,,Install,Redbox,IT,
874720145-2,PT,,,,,Apt Locker,Dobby,Install,553744005-9,New,5/9/24,,,Install,NSA,PT,
299652459-4,PT,,,,,Locker,Location Locker/Counter,Survey,220409914-7,Cancelled,5/23/24,5/28/24,,Survey,Redbox,PT,
201765603-8,AT,,,,,Apt Locker,Dobby,Survey,850283356-1,Failure,1/24/24,1/25/24,,Survey,Brendamour,AT,
671666621-4,DE,,,,,Locker,Location Locker/Counter,,359726407-7,Scheduled,2/27/24,3/3/24,,Decommission,Redbox,DE,
150323041-4,FR,,,,,Locker,Location Locker/Counter,Compliance,762919624-5,New,1/15/24,,,Permit,Redbox,FR,
980699924-X,PT,,,,,Apt Locker,Dobby NA,Survey,534778853-4,Scheduled,3/22/24,3/23/24,,Survey,NSA,PT,
880919839-5,FR,,,,,Locker,Location Locker/Counter NA,Compliance,780029591-5,New,4/13/24,,,Permit,Redbox,FR,
572020810-0,IT,,,,,Apt Locker,Dobby,,303911431-X,Cancelled,2/9/24,2/11/24,,Decommission,NSA,IT,
870570884-2,ES,,,,,Apt Locker Pro,Location,Install,485500654-8,Cancelled,1/27/24,1/31/24,,Install,Redbox,ES,
185285662-9,US,,,,,Apt Locker Pro,Location,Survey,701270789-5,Fulfilled,3/10/24,3/11/24,3/25/24,Survey,Redbox,US,15
990989264-2,FR,,,,,Apt Locker Pro,Location,,225714602-6,Failure,2/7/24,2/11/24,,Removal,NSA,FR,
961949866-6,MX,,,,,Apt Locker,Dobby,,474772266-1,Complete,2/14/24,2/16/24,2/25/24,Advertising,NSA,MX,11
572986745-X,AT,,,,,Apt Locker Pro,Location,,890798581-2,Complete,3/31/24,4/2/24,4/18/24,Advertising,Brendamour,AT,18
728057579-X,DE,,,,,Apt Locker Pro,Location,Install,389804711-3,New,4/16/24,,,Install,Redbox,DE,
219523886-0,PT,,,,,Locker,Location Locker/Counter,Compliance,912850751-7,Scheduled,4/10/24,4/14/24,,Permit,Brendamour,PT,
748067001-X,PT,,,,,Apt Locker,Dobby,Install,455309627-7,Scheduled,1/30/24,2/2/24,,Install,NSA,PT,
815389040-9,AT,,,,,Apt Locker Pro,Location,,950494961-4,Failure,2/20/24,2/23/24,,Decommission,NSA,AT,
999212189-0,AT,,,,,Locker,Location Locker/Counter NA,,856857367-3,Scheduled,1/3/24,1/5/24,,Advertising,Brendamour,AT,
560684822-8,DE,,,,,Locker,Location Locker/Counter NA,,383675064-3,Scheduled,3/12/24,3/17/24,,Decommission,Redbox,DE,
099690893-5,JP,,,,,Apt Locker Pro,Location,Install,883688606-X,Cancelled,1/11/24,1/14/24,,Install,Redbox,JP,
474595400-X,IT,,45355,45355,,Apt Locker,Dobby NA,Closed,763954348-7,Fulfilled,2/12/24,2/15/24,3/4/24,Install,NSA,IT,21
818878660-8,JP,,,,,Apt Locker Pro,Location,,282945985-7,Failure,12/31/23,1/5/24,,Removal,NSA,JP,
111685589-5,US,,45357,45357,45357,Locker,Location Locker/Counter NA,Closed,199169138-6,Fulfilled,2/26/24,3/1/24,3/6/24,Removal,Brendamour,US,9
348261891-7,CA,,,,,Locker,Location Locker/Counter,,253285579-7,New,5/23/24,,,Advertising,Redbox,CA,
432932159-9,MX,,,,,Apt Locker,Dobby,Survey,384896218-7,Cancelled,3/28/24,3/30/24,,Survey,Redbox,MX,
720108865-3,JP,,,,,Locker,Location Locker/Counter,,251849317-4,Cancelled,5/15/24,5/20/24,,Decommission,Brendamour,JP,
906615448-9,ES,,,,,Apt Locker,Dobby NA,,527484187-2,Failure,3/12/24,3/16/24,,Removal,Brendamour,ES,
471470678-0,US,,,,,Locker,Location Locker/Counter,Install,204579726-0,Scheduled,5/8/24,5/9/24,,Install,Brendamour,US,
095610419-3,CA,,,,,Locker,Location Locker/Counter,,293102652-2,Cancelled,4/16/24,4/17/24,,Advertising,Redbox,CA,
097352291-7,PT,,,,,Apt Locker,Dobby NA,,171743774-5,Failure,5/21/24,5/25/24,,Decommission,Redbox,PT,
477613582-5,MX,,,,,Locker,Location Locker/Counter,,475222745-2,Complete,1/14/24,1/17/24,2/4/24,Advertising,NSA,MX,21
806171007-2,DE,,,,,Apt Locker Pro,Location,Install,317815092-7,Scheduled,3/8/24,3/12/24,,Install,Redbox,DE,
406806260-9,US,,45439,45439,,Locker,Location Locker/Counter,Closed,612923091-5,Fulfilled,5/7/24,5/8/24,5/27/24,Install,NSA,US,20
994792906-X,JP,,,,,Locker,Location Locker/Counter NA,Survey,954308281-2,New,1/14/24,,,Survey,Brendamour,JP,
153128719-0,FR,,,,,Locker,Location Locker/Counter NA,,116122999-X,Scheduled,5/7/24,5/9/24,,Decommission,Redbox,FR,
374206231-X,MX,,,,,Apt Locker,Dobby NA,,821771965-9,New,2/3/24,,,Removal,Redbox,MX,
166808640-9,IT,,,,,Apt Locker Pro,Location,Install,437549858-7,New,1/24/24,,,Install,Redbox,IT,
797613259-8,CA,,,,,Apt Locker Pro,Location,Install,811526240-4,Scheduled,1/15/24,1/19/24,,Install,Redbox,CA,
387549390-7,MX,,45360,45360,45360,Locker,Location Locker/Counter NA,Closed,397954782-5,Fulfilled,2/25/24,2/26/24,3/9/24,Removal,Brendamour,MX,13
720227241-5,JP,,,,,Apt Locker,Dobby,,932231286-6,New,4/2/24,,,Removal,NSA,JP,
941954799-X,IT,,,,,Locker,Location Locker/Counter,Survey,997301588-6,Cancelled,1/6/24,1/11/24,,Survey,Brendamour,IT,
782394808-7,AU,,,,,Apt Locker,Dobby NA,,814754319-0,New,5/30/24,,,Advertising,Redbox,AU,
870859911-4,ES,,45320,45320,,Apt Locker Pro,Location,Closed,436208727-3,Complete,1/3/24,1/8/24,1/29/24,Install,Redbox,ES,26
234262245-7,ES,,,,,Locker,Location Locker/Counter NA,Compliance,647579899-1,Scheduled,3/24/24,3/26/24,,Permit,Brendamour,ES,
111152994-9,PT,,,,,Locker,Location Locker/Counter NA,Compliance,008109255-5,Complete,4/23/24,4/26/24,4/30/24,Permit,Brendamour,PT,7
536729140-6,MX,,,,,Apt Locker,Dobby,Compliance,977651744-7,Complete,4/3/24,4/8/24,4/13/24,Permit,Brendamour,MX,10
237209011-9,ES,,,,,Locker,Location Locker/Counter NA,Compliance,377516914-8,Fulfilled,2/20/24,2/25/24,3/12/24,Permit,Brendamour,ES,21
340526938-5,ES,,,,,Locker,Location Locker/Counter NA,Survey,216262899-6,Fulfilled,1/2/24,1/6/24,1/9/24,Survey,Brendamour,ES,7
644127025-0,MX,,,,,Apt Locker Pro,Location,Compliance,913363297-9,Complete,4/24/24,4/27/24,5/7/24,Permit,Redbox,MX,13
792604060-6,CA,,,,,Apt Locker,Dobby,,495204574-9,Cancelled,3/21/24,3/25/24,,Removal,Brendamour,CA,
986840174-7,US,,,,,Apt Locker,Dobby NA,,302323973-8,Cancelled,1/23/24,1/25/24,,Advertising,Redbox,US,
905858426-7,DE,,,,,Apt Locker Pro,Location,Survey,831103596-2,Failure,1/8/24,1/13/24,,Survey,Brendamour,DE,
039896281-2,US,,,,,Locker,Location Locker/Counter NA,,227898491-8,Scheduled,1/15/24,1/19/24,,Removal,Brendamour,US,
013185152-7,AT,,,,,Apt Locker,Dobby NA,,119799537-4,Complete,2/7/24,2/11/24,2/24/24,Advertising,Redbox,AT,17
797316419-7,AT,,,,,Apt Locker,Dobby NA,Compliance,353273256-4,Failure,4/23/24,4/26/24,,Permit,Redbox,AT,
628216123-1,ES,,,,,Apt Locker Pro,Location,,011673571-6,New,4/7/24,,,Removal,Brendamour,ES,
980882431-5,AU,,,,,Locker,Location Locker/Counter NA,Survey,944935840-0,Failure,1/8/24,1/12/24,,Survey,NSA,AU,
587516594-4,US,,,,,Apt Locker Pro,Location,Survey,168610162-7,Cancelled,4/15/24,4/19/24,,Survey,Redbox,US,
164281410-5,JP,,,,,Apt Locker,Dobby NA,Install,853653977-1,Scheduled,2/3/24,2/4/24,,Install,Redbox,JP,
010966046-3,AT,,,,,Locker,Location Locker/Counter,,238006863-1,New,3/12/24,,,Removal,NSA,AT,
581086130-X,CA,,,,,Apt Locker Pro,Location,,050134636-8,New,3/7/24,,,Decommission,Redbox,CA,
970164650-9,FR,,45345,45345,45345,Apt Locker,Dobby,Closed,098148204-X,Fulfilled,2/15/24,2/17/24,2/23/24,Decommission,Brendamour,FR,8
211634593-6,FR,,,,,Apt Locker Pro,Location,Survey,660781301-1,Fulfilled,1/20/24,1/25/24,2/3/24,Survey,Redbox,FR,14
857076625-4,PT,,,,,Apt Locker Pro,Location,,816282605-X,Failure,5/28/24,6/2/24,,Removal,NSA,PT,
336706421-1,MX,,,,,Apt Locker,Dobby,Install,802367161-8,New,3/19/24,,,Install,Redbox,MX,
305470478-5,ES,,45359,45359,45359,Locker,Location Locker/Counter NA,Closed,548253610-6,Fulfilled,2/17/24,2/21/24,3/8/24,Removal,Redbox,ES,20
324240388-6,CA,,,,,Locker,Location Locker/Counter NA,Compliance,019573883-7,New,5/19/24,,,Permit,NSA,CA,
678775619-4,JP,,,,,Apt Locker,Dobby,Compliance,570901893-7,Failure,3/26/24,3/28/24,,Permit,Brendamour,JP,
076017368-0,DE,,,,,Locker,Location Locker/Counter,Compliance,885140461-5,Fulfilled,5/8/24,5/13/24,5/19/24,Permit,Brendamour,DE,11
743544111-2,AU,,45368,45368,45368,Locker,Location Locker/Counter NA,Closed,587849839-1,Fulfilled,3/3/24,3/6/24,3/17/24,Removal,Brendamour,AU,14
625071088-4,AT,,,,,Apt Locker,Dobby NA,Survey,914561627-2,Fulfilled,1/8/24,1/13/24,1/30/24,Survey,Redbox,AT,22
414145348-X,IT,,,,,Apt Locker,Dobby NA,Survey,955346340-1,New,3/24/24,,,Survey,Redbox,IT,
152397807-4,AT,,,,,Locker,Location Locker/Counter NA,,979556922-8,New,1/18/24,,,Removal,Redbox,AT,
351562174-1,PT,,,,,Apt Locker Pro,Location,,381938591-6,Scheduled,4/29/24,5/4/24,,Decommission,NSA,PT,
317584489-8,US,,,,,Apt Locker Pro,Location,Compliance,064560886-6,Complete,4/21/24,4/22/24,5/3/24,Permit,Redbox,US,12
010196230-4,IT,,,,,Apt Locker,Dobby,Install,228251805-5,Scheduled,5/6/24,5/7/24,,Install,Brendamour,IT,
291846692-1,PT,,,,,Apt Locker Pro,Location,Compliance,351724854-1,Fulfilled,4/12/24,4/16/24,5/1/24,Permit,NSA,PT,19
759492947-0,CA,,,,,Locker,Location Locker/Counter,Compliance,390096370-3,New,3/31/24,,,Permit,NSA,CA,
687280945-0,PT,,45423,45423,45423,Apt Locker,Dobby,Closed,975717110-7,Complete,4/23/24,4/28/24,5/11/24,Decommission,NSA,PT,18
715048825-0,IT,,,,,Apt Locker,Dobby NA,,108970908-0,Failure,2/27/24,2/28/24,,Removal,NSA,IT,
885436040-6,US,,,,,Locker,Location Locker/Counter NA,,527336802-2,Failure,1/28/24,1/30/24,,Removal,Redbox,US,
651535414-2,IT,,,,,Locker,Location Locker/Counter,,393246937-2,New,5/10/24,,,Removal,Redbox,IT,
135256775-X,MX,,45415,45415,,Apt Locker,Dobby,Closed,101565747-8,Fulfilled,3/25/24,3/29/24,5/3/24,Install,Redbox,MX,39
600696116-4,JP,,,,,Locker,Location Locker/Counter,Install,293595450-5,Scheduled,1/4/24,1/7/24,,Install,Brendamour,JP,
995054585-4,FR,,,,,Apt Locker,Dobby NA,,059474784-8,Complete,5/30/24,6/3/24,6/9/24,Advertising,Redbox,FR,10
450210343-8,PT,,,,,Apt Locker Pro,Location,Install,488322174-1,New,5/17/24,,,Install,NSA,PT,
335226565-8,AT,,,,,Locker,Location Locker/Counter NA,,803135502-9,Scheduled,5/23/24,5/26/24,,Removal,NSA,AT,
035263405-7,IT,,,,,Apt Locker,Dobby,Compliance,134046106-4,Scheduled,4/7/24,4/10/24,,Permit,NSA,IT,
381740691-6,IT,,,,,Apt Locker,Dobby,,621365193-4,Scheduled,5/26/24,5/30/24,,Advertising,Brendamour,IT,
717976355-1,MX,,,,,Apt Locker,Dobby NA,Compliance,735684603-9,Scheduled,2/2/24,2/6/24,,Permit,NSA,MX,
854469535-3,US,,,,,Apt Locker,Dobby,Install,934091593-3,Scheduled,4/1/24,4/4/24,,Install,Redbox,US,
309413081-X,MX,,,,,Apt Locker,Dobby,Install,291985852-1,Scheduled,4/29/24,5/2/24,,Install,Redbox,MX,
253058209-2,DE,,,,,Locker,Location Locker/Counter,Survey,614371127-5,Complete,4/2/24,4/6/24,4/20/24,Survey,Brendamour,DE,18
481980933-4,DE,,45429,45429,45429,Apt Locker,Dobby NA,Closed,575644126-3,Fulfilled,5/2/24,5/5/24,5/17/24,Removal,Brendamour,DE,15
148519172-6,AT,,,,,Locker,Location Locker/Counter NA,,019710264-6,Failure,4/13/24,4/16/24,,Decommission,Brendamour,AT,
535484146-1,ES,,45454,45454,45454,Locker,Location Locker/Counter NA,Closed,564269222-4,Complete,5/23/24,5/26/24,6/11/24,Removal,Redbox,ES,19
543251250-5,FR,,,,,Locker,Location Locker/Counter NA,,290648496-2,Fulfilled,5/3/24,5/7/24,5/22/24,Advertising,Brendamour,FR,19
573813736-1,FR,,,,,Locker,Location Locker/Counter,,961435015-6,Failure,5/11/24,5/15/24,,Advertising,Brendamour,FR,
095998725-8,CA,,,,,Apt Locker Pro,Location,,441237585-4,Cancelled,2/15/24,2/18/24,,Advertising,NSA,CA,
085995833-7,MX,,,,,Apt Locker,Dobby NA,Survey,151065517-4,Failure,2/10/24,2/12/24,,Survey,Redbox,MX,
586710440-0,IT,,45416,45416,,Apt Locker,Dobby NA,Closed,607574653-6,Fulfilled,4/11/24,4/15/24,5/4/24,Install,NSA,IT,23
527306620-4,US,,,,,Apt Locker,Dobby,,092490716-9,Scheduled,2/22/24,2/27/24,,Decommission,Brendamour,US,
867925444-4,FR,,,,,Apt Locker Pro,Location,Compliance,583802808-4,Fulfilled,2/25/24,2/27/24,3/5/24,Permit,Redbox,FR,9
318684063-5,ES,,,,,Apt Locker,Dobby NA,Survey,212809191-8,Scheduled,3/3/24,3/7/24,,Survey,Redbox,ES,
371412511-6,ES,,,,,Locker,Location Locker/Counter,,126570050-8,Failure,2/11/24,2/14/24,,Advertising,Brendamour,ES,
178537138-X,AT,,,,,Apt Locker,Dobby,,660624536-2,Scheduled,1/18/24,1/19/24,,Decommission,Redbox,AT,
380655346-7,MX,,,,,Apt Locker,Dobby,,591048658-6,Complete,4/25/24,4/27/24,5/12/24,Advertising,Redbox,MX,17
961918306-1,AT,,,,,Apt Locker,Dobby,Compliance,255309578-3,New,2/25/24,,,Permit,NSA,AT,
466055261-6,AU,,,,,Locker,Location Locker/Counter NA,Install,716826084-7,New,1/15/24,,,Install,Brendamour,AU,
267434233-1,AU,,,,,Apt Locker,Dobby,Survey,500315789-4,Cancelled,4/5/24,4/10/24,,Survey,NSA,AU,
566261549-7,CA,,,,,Apt Locker,Dobby NA,Compliance,782492931-0,Fulfilled,2/28/24,3/3/24,3/16/24,Permit,Redbox,CA,17
724369909-X,FR,,,,,Apt Locker Pro,Location,Survey,316414726-0,Failure,5/5/24,5/6/24,,Survey,Brendamour,FR,
873324954-7,AU,,,,,Apt Locker,Dobby,Compliance,980729987-X,New,5/19/24,,,Permit,Redbox,AU,
143246299-7,DE,,,,,Apt Locker Pro,Location,Survey,380327955-0,Scheduled,3/22/24,3/25/24,,Survey,NSA,DE,
562060094-7,DE,,,,,Apt Locker Pro,Location,,135943910-2,New,5/27/24,,,Removal,Brendamour,DE,
592178288-2,AT,,,,,Apt Locker,Dobby,,728984564-1,Complete,4/20/24,4/22/24,5/2/24,Advertising,Brendamour,AT,12
617706870-7,MX,,45350,45350,,Apt Locker,Dobby,Closed,128994623-X,Complete,1/18/24,1/21/24,2/28/24,Install,NSA,MX,41
153134138-1,AT,,,,,Locker,Location Locker/Counter,Install,429489624-8,New,2/9/24,,,Install,Brendamour,AT,
132149220-0,FR,,,,,Apt Locker Pro,Location,Install,160615546-6,Failure,5/14/24,5/19/24,,Install,NSA,FR,
092066929-8,CA,,,,,Apt Locker Pro,Location,Survey,975471280-8,New,5/30/24,,,Survey,Redbox,CA,
585692294-8,US,,45449,45449,45449,Locker,Location Locker/Counter,Closed,395769857-X,Complete,5/25/24,5/29/24,6/6/24,Removal,Redbox,US,12
580941746-9,AT,,45350,45350,45350,Locker,Location Locker/Counter NA,Closed,263114410-4,Fulfilled,2/15/24,2/18/24,2/28/24,Decommission,Brendamour,AT,13
277122191-8,AT,,,,,Locker,Location Locker/Counter NA,Survey,032526544-5,Scheduled,5/7/24,5/8/24,,Survey,Brendamour,AT,
438267771-8,DE,,,,,Locker,Location Locker/Counter,,508807357-7,Failure,1/16/24,1/19/24,,Removal,Redbox,DE,
522792349-3,FR,,,,,Apt Locker Pro,Location,Survey,619459772-0,Scheduled,1/29/24,2/1/24,,Survey,Redbox,FR,
100075208-9,AU,,45352,45352,,Apt Locker,Dobby,Closed,893012577-8,Complete,2/12/24,2/14/24,3/1/24,Install,NSA,AU,18
897829047-7,US,,,,,Locker,Location Locker/Counter,Survey,355528382-0,New,3/8/24,,,Survey,Brendamour,US,
401508049-1,CA,,,,,Apt Locker,Dobby NA,,913189137-3,New,4/5/24,,,Removal,Brendamour,CA,
208474471-7,MX,,,,,Apt Locker Pro,Location,,385148362-6,Failure,4/30/24,5/3/24,,Decommission,NSA,MX,
751636532-7,US,,,,,Apt Locker,Dobby NA,,246592202-5,New,2/6/24,,,Decommission,Redbox,US,
845039111-3,MX,,,,,Locker,Location Locker/Counter NA,Survey,871116763-7,Complete,5/24/24,5/26/24,6/13/24,Survey,Brendamour,MX,20
393465824-5,FR,,,,,Apt Locker,Dobby,Compliance,806711979-1,Failure,2/1/24,2/4/24,,Permit,NSA,FR,
502490927-5,MX,,,,,Apt Locker,Dobby,,629432643-5,Fulfilled,2/23/24,2/28/24,3/8/24,Advertising,Brendamour,MX,14
195584338-4,AU,,,,,Apt Locker Pro,Location,Survey,079695721-5,Complete,3/22/24,3/24/24,3/29/24,Survey,Brendamour,AU,7
894551497-X,JP,,,,,Apt Locker,Dobby NA,Survey,415514071-3,New,5/14/24,,,Survey,NSA,JP,
044859799-3,DE,,,,,Locker,Location Locker/Counter,Survey,642107779-X,Failure,5/26/24,5/27/24,,Survey,Brendamour,DE,
001944961-5,ES,,,,,Locker,Location Locker/Counter,Survey,428521197-1,Complete,3/11/24,3/16/24,3/20/24,Survey,Brendamour,ES,9
068624169-X,ES,,,,,Locker,Location Locker/Counter,,832117227-X,Scheduled,1/16/24,1/17/24,,Advertising,Redbox,ES,
649588994-1,US,,,,,Apt Locker,Dobby,Survey,640418762-0,Failure,4/4/24,4/7/24,,Survey,Brendamour,US,
257463521-3,IT,,,,,Apt Locker Pro,Location,,626654662-0,Failure,1/9/24,1/10/24,,Decommission,NSA,IT,
883112670-9,CA,,45392,45392,45392,Locker,Location Locker/Counter,Closed,939035308-4,Complete,3/31/24,4/5/24,4/10/24,Decommission,Brendamour,CA,10
222361930-4,IT,,,,,Apt Locker,Dobby NA,,303285278-1,Scheduled,4/30/24,5/4/24,,Advertising,Brendamour,IT,
655005281-5,CA,,,,,Locker,Location Locker/Counter NA,Survey,676825162-7,Scheduled,2/13/24,2/18/24,,Survey,Redbox,CA,
799457999-X,DE,,,,,Apt Locker,Dobby,Install,286238603-0,Scheduled,2/11/24,2/14/24,,Install,NSA,DE,
263183022-9,MX,,,,,Apt Locker,Dobby NA,Install,765225336-5,New,5/17/24,,,Install,NSA,MX,
405147685-5,DE,,,,,Apt Locker,Dobby,Survey,503695517-X,Fulfilled,4/16/24,4/18/24,4/25/24,Survey,Redbox,DE,9
508018013-7,JP,,,,,Apt Locker,Dobby,,287504346-3,Complete,5/24/24,5/25/24,6/6/24,Advertising,NSA,JP,13
686856694-8,US,,,,,Apt Locker Pro,Location,Survey,624527168-1,Fulfilled,1/24/24,1/29/24,2/3/24,Survey,Brendamour,US,10
963262537-4,CA,,,,,Apt Locker Pro,Location,,710375669-4,Scheduled,1/19/24,1/20/24,,Removal,NSA,CA,
381330520-1,IT,,45351,45351,45351,Apt Locker Pro,Location,Closed,280357716-X,Complete,2/19/24,2/24/24,2/29/24,Removal,Redbox,IT,10
698827737-4,AU,,,,,Apt Locker,Dobby,Compliance,972849579-X,Failure,5/9/24,5/12/24,,Permit,NSA,AU,
929040661-5,MX,,,,,Apt Locker Pro,Location,,823150262-9,Fulfilled,3/4/24,3/9/24,3/16/24,Advertising,Redbox,MX,12
760992635-3,JP,,,,,Apt Locker Pro,Location,,988003793-6,Cancelled,3/16/24,3/17/24,,Advertising,Brendamour,JP,
451068210-7,JP,,,,,Apt Locker Pro,Location,Install,321197040-1,Failure,2/17/24,2/18/24,,Install,NSA,JP,
483732634-X,AU,,,,,Apt Locker,Dobby,Compliance,615982319-1,Complete,1/3/24,1/6/24,1/9/24,Permit,Brendamour,AU,6
520773032-0,AU,,,,,Apt Locker,Dobby NA,,022267695-7,New,2/7/24,,,Removal,Redbox,AU,
855651543-6,CA,,45360,45360,,Apt Locker,Dobby NA,Closed,684627476-6,Fulfilled,1/23/24,1/27/24,3/9/24,Install,Brendamour,CA,46
477515129-0,CA,,,,,Apt Locker Pro,Location,Compliance,186574448-4,Failure,4/11/24,4/15/24,,Permit,Brendamour,CA,
069717648-7,DE,,,,,Apt Locker,Dobby NA,,915577847-X,Failure,3/5/24,3/8/24,,Advertising,Brendamour,DE,
002763008-0,MX,,,,,Apt Locker,Dobby,Compliance,861978468-4,Failure,3/22/24,3/23/24,,Permit,Brendamour,MX,
945478700-4,PT,,,,,Apt Locker,Dobby NA,,332298177-0,New,1/27/24,,,Removal,NSA,PT,
721895613-0,FR,,,,,Locker,Location Locker/Counter,,354799064-5,New,2/1/24,,,Decommission,Redbox,FR,
604482970-7,JP,,,,,Apt Locker,Dobby NA,Install,662735354-7,New,1/13/24,,,Install,NSA,JP,
332501622-7,AU,,,,,Apt Locker Pro,Location,,355284779-0,Scheduled,2/9/24,2/10/24,,Decommission,NSA,AU,
060620720-1,ES,,,,,Apt Locker,Dobby,,834830760-5,Scheduled,3/24/24,3/29/24,,Decommission,NSA,ES,
335252909-4,MX,,,,,Locker,Location Locker/Counter NA,Install,383150427-X,Cancelled,1/3/24,1/5/24,,Install,Brendamour,MX,
995169879-4,AT,,,,,Apt Locker,Dobby NA,,871053941-7,Fulfilled,2/1/24,2/4/24,2/18/24,Advertising,NSA,AT,17
320652902-6,CA,,45406,45406,,Locker,Location Locker/Counter NA,Closed,610560718-0,Complete,4/2/24,4/3/24,4/24/24,Install,NSA,CA,22
557720305-8,US,,,,,Locker,Location Locker/Counter NA,Compliance,551235941-X,Scheduled,4/30/24,5/2/24,,Permit,Redbox,US,
698855858-6,US,,45339,45339,45339,Locker,Location Locker/Counter NA,Closed,136500639-5,Complete,2/2/24,2/7/24,2/17/24,Removal,NSA,US,15
082611617-5,MX,,,,,Apt Locker,Dobby NA,,560822661-5,Failure,3/21/24,3/22/24,,Advertising,NSA,MX,
897516434-9,ES,,,,,Locker,Location Locker/Counter,Compliance,291842015-8,Failure,12/31/23,1/2/24,,Permit,NSA,ES,
781480583-X,MX,,45436,45436,,Locker,Location Locker/Counter NA,Closed,256621244-9,Complete,5/7/24,5/12/24,5/24/24,Install,Brendamour,MX,17
974291815-5,MX,,45339,45339,45339,Locker,Location Locker/Counter,Closed,601498221-3,Complete,2/3/24,2/6/24,2/17/24,Removal,NSA,MX,14
566774472-4,AT,,,,,Apt Locker,Dobby,Compliance,219428621-7,Cancelled,1/26/24,1/27/24,,Permit,NSA,AT,
516599294-2,FR,,,,,Locker,Location Locker/Counter NA,Survey,217779090-5,Complete,3/11/24,3/14/24,3/30/24,Survey,Redbox,FR,19
658545324-7,US,,,,,Apt Locker,Dobby,,997927862-5,Cancelled,2/6/24,2/10/24,,Decommission,NSA,US,
685657603-X,FR,,45441,45441,45441,Apt Locker Pro,Location,Closed,080380979-4,Fulfilled,5/23/24,5/25/24,5/29/24,Decommission,Brendamour,FR,6
